1A,24.vi.2015
1A,1.vii.2015
1A,8.vii.2015
1A,15.vii.2015
1A,22.vii.2015
1B,24.vi.2015
1B,1.vii.2015
1B,8.vii.2015
1B,15.vii.2015
1B,22.vii.2015
1C,24.vi.2015
1C,1.vii.2015
1C,8.vii.2015
1C,15.vii.2015
1C,22.vii.2015
2A,25.vi.2015
2A,3.vii.2015
2A,10.vii.2015
2A,17.vii.2015
2A,24.vii.2015
2B,25.vi.2015
2B,3.vii.2015
2B,10.vii.2015
2B,17.vii.2015
2B,24.vii.2015
2C,25.vi.2015
2C,3.vii.2015
2C,10.vii.2015
2C,17.vii.2015
2C,24.vii.2015
3A,26.vi.2015
3A,6.vii.2015
3A,13.vii.2015
3A,20.vii.2015
3A,27.vii.2015
3B,26.vi.2015
3B,6.vii.2015
3B,13.vii.2015
3B,20.vii.2015
3B,27.vii.2015
3C,26.vi.2015
3C,6.vii.2015
3C,13.vii.2015
3C,20.vii.2015
3C,27.vii.2015
UTC1,27.vi.2015
UTC1,4.vii.2015
UTC1,11.vii.2015
UTC1,18.vii.2015
UTC1,25.vii.2015
UTC2,27.vi.2015
UTC2,4.vii.2015
UTC2,11.vii.2015
UTC2,18.vii.2015
UTC2,25.vii.2015
UTC3,27.vi.2015
UTC3,4.vii.2015
UTC3,11.vii.2015
UTC3,18.vii.2015
UTC3,25.vii.2015
1A,22.vi.2016
1A,29.vi.2016
1A,6.vii.2016
1A,13.vii.2016
1A,20.vii.2016 
1B,22.vi.2016
1B,29.vi.2016
1B,6.vii.2016
1B,13.vii.2016
1B,20.vii.2016
1C,22.vi.2016
1C,29.vi.2016
1C,6.vii.2016
1C,13.vii.2016
1C,20.vii.2016
2A,23.vi.2016
2A,30.vi.2016
2A,7.vii.2016
2A,14.vii.2016
2A,23.vii.2016 
2B,23.vi.2016
2B,30.vi.2016
2B,7.vii.2016
2B,14.vii.2016
2B,23.vii.2016
2C,23.vi.2016
2C,30.vi.2016
2C,7.vii.2016
2C,14.vii.2016
2C,23.vii.2016 
3A,24.vi.2016
3A,1.vii.2016
3A,8.vii.2016
3A,15.vii.2016 
3A,22.vii.2016
3B,24.vi.2016
3B,1.vii.2016
3B,8.vii.2016
3B,15.vii.2016 
3B,22.vii.2016
3C,24.vi.2016
3C,1.vii.2016
3C,8.vii.2016
3C,15.vii.2016
3C,22.vii.2016
UTC1,25.vi.2016
UTC1,2.vii.2016
UTC1,9.vii.2016
UTC1,16.vii.2016
UTC1,23.vii.2016
UTC2,25.vi.2016
UTC2,2.vii.2016
UTC2,9.vii.2016
UTC2,16.vii.2016
UTC2,23.vii.2016
UTC3,25.vi.2016
UTC3,2.vii.2016
UTC3,9.vii.2016
UTC3,16.vii.2016
UTC3,23.vii.2016
